Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65f1c078c663e62747041823,6012e262527c380ccb2a6c74,AWAITING REVIEW,Not Applicable,2024-03-13T15:04:28.631000Z,2024-03-13T15:24:27.314000Z,,2024-03-13T15:24:27.898423Z,1199.0,C9DO6R16,5282,50,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
65f1c0a328ef4966e3260dca,60e364349645120ba12a3d70,AWAITING REVIEW,Not Applicable,2024-03-13T15:05:13.641000Z,2024-03-13T15:09:39.755000Z,,2024-03-13T15:09:40.541496Z,267.0,C9DO6R16,1876,30,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65f1c0bdae4830662251655d,559ffa9bfdf99b0ad674856a,AWAITING REVIEW,Not Applicable,2024-03-13T15:05:38.825000Z,2024-03-13T15:07:40.893000Z,,2024-03-13T15:07:41.359632Z,123.0,C9DO6R16,2154,38,Male,Asian,United States,United States,United States,English,No,Full-Time
65f1c0c1fb299491f451495d,5f16f559325a640008bb9a07,AWAITING REVIEW,Not Applicable,2024-03-13T15:05:40.529000Z,2024-03-13T15:10:04.333000Z,,2024-03-13T15:10:05.327862Z,264.0,C9DO6R16,7581,37,Male,White,United States,United States,United States,English,No,Full-Time
65f1c0c5569b6804ccbde215,56259489ed6e5a0005c80fde,AWAITING REVIEW,Not Applicable,2024-03-13T15:05:41.793000Z,2024-03-13T15:08:52.782000Z,,2024-03-13T15:09:03.006529Z,191.0,C9DO6R16,7434,37,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65f1c0c697afcca7fbd83255,57d0a0bee3221e00015fe385,AWAITING REVIEW,Not Applicable,2024-03-13T15:05:46.786000Z,2024-03-13T15:07:29.106000Z,,2024-03-13T15:07:29.639500Z,103.0,C9DO6R16,7243,39,Male,Other,United States,United States,United States,English,No,Full-Time
65f1c0c784134638fe62ef63,62a15df1dd6fa394ea04f063,AWAITING REVIEW,Not Applicable,2024-03-13T15:05:47.843000Z,2024-03-13T15:10:15.221000Z,,2024-03-13T15:10:15.890109Z,268.0,C9DO6R16,4382,44,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED
65f1c0c7d0b8c5a13492de34,5685850c333cbd000d4e042f,AWAITING REVIEW,Not Applicable,2024-03-13T15:06:18.910000Z,2024-03-13T15:08:20.979000Z,,2024-03-13T15:08:21.771134Z,123.0,C9DO6R16,5475,29,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65f1c0c8e77e003221b148d0,5da8edc60f9c9c0017526948,AWAITING REVIEW,Not Applicable,2024-03-13T15:05:48.190000Z,2024-03-13T15:10:27.912000Z,,2024-03-13T15:10:28.523203Z,280.0,C9DO6R16,790,34,Male,Asian,United States,United States,United States,English,No,Full-Time
65f1c0c9c77efb5d7f0d55a5,59ff47d47ecfc50001be0555,AWAITING REVIEW,Not Applicable,2024-03-13T15:05:48.463000Z,2024-03-13T15:08:05.812000Z,,2024-03-13T15:08:06.369405Z,138.0,C9DO6R16,6551,43,Male,White,United States,United States,United States,English,No,Full-Time
