Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
662bbf96ea192848f37c3df0,62e0532289a4e5d9fedadde1,APPROVED,Not Applicable,2024-04-26T14:52:11.945000Z,2024-04-26T15:02:24.442000Z,2024-04-26T16:25:42.579000Z,2024-04-26T15:02:25.402822Z,613.0,C9DO6R16,5138,41,Male,White,United States,United States,United States,English,No,Full-Time
662bbf999356ad27bf61cb4b,62e9731465fb490879d942c7,APPROVED,Not Applicable,2024-04-26T14:53:13.816000Z,2024-04-26T14:54:40.338000Z,2024-04-26T16:25:42.978000Z,2024-04-26T14:56:22.086372Z,87.0,C9DO6R16,2060,34,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
662bbf9afa2108660bd842b0,5a3bdd2c8d005a0001829f3e,APPROVED,Not Applicable,2024-04-26T14:52:13.392000Z,2024-04-26T14:56:55.611000Z,2024-04-26T16:25:43.221000Z,2024-04-26T14:56:56.227960Z,283.0,C9DO6R16,7583,33,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
662bbf9b9edf3304b5a19438,5dd9923922749791b319fc19,APPROVED,Not Applicable,2024-04-26T14:52:36.876000Z,2024-04-26T15:09:03.562000Z,2024-04-26T16:25:43.459000Z,2024-04-26T15:09:04.227831Z,987.0,C9DO6R16,4921,40,Male,Mixed,United States,United States,United States,English,No,Full-Time
662bbf9c1d6c04e888c8a2da,5fd0261b85dd3e087609bee6,AWAITING REVIEW,Not Applicable,2024-04-26T14:52:14.907000Z,2024-04-26T15:02:45.768000Z,,2024-04-26T15:02:46.403111Z,631.0,C9DO6R16,548,25,Female,Asian,United States,United States,United States,Vietnamese,No,Full-Time
662bbf9ca54768fb6425f11e,5c1655c7ad682500017070d2,APPROVED,Not Applicable,2024-04-26T14:52:22.273000Z,2024-04-26T14:59:37.381000Z,2024-04-26T16:25:43.721000Z,2024-04-26T14:59:38.003880Z,436.0,C9DO6R16,7983,35,Male,White,United States,United States,United States,English,No,Full-Time
662bbf9d8b0346ed3cb17643,5fb30e51b33dd7a1001142b7,AWAITING REVIEW,Not Applicable,2024-04-26T14:52:18.935000Z,2024-04-26T14:55:46.862000Z,,2024-04-26T14:56:37.250954Z,208.0,C9DO6R16,52,28,Female,Mixed,Germany,United States,United States,German,No,Full-Time
662bbf9db0804d4631238c81,660cda55786e37b1cbb49717,APPROVED,Not Applicable,2024-04-26T14:55:10.052000Z,2024-04-26T14:58:17.172000Z,2024-04-26T16:25:43.974000Z,2024-04-26T14:58:18.687608Z,188.0,C9DO6R16,275,37,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
662bbf9e4188a5e5fb39398f,5ac16e870527ba0001c1f27e,APPROVED,Not Applicable,2024-04-26T14:52:14.070000Z,2024-04-26T15:02:49.194000Z,2024-04-26T16:25:44.245000Z,2024-04-26T15:02:50.376064Z,636.0,C9DO6R16,4389,42,Male,Black,United States,United States,United States,English,No,Full-Time
662bbf9ebe9e67f58d3e520d,5c95493ddd325800166f838a,AWAITING REVIEW,Not Applicable,2024-04-26T14:52:23.944000Z,2024-04-26T14:55:30.079000Z,,2024-04-26T14:56:33.112712Z,187.0,C9DO6R16,5192,42,Female,White,Latvia,United States,United States,English,No,Full-Time
662bbf9fa3a8bde1d461600e,662a8397597e6b0d7dff8843,APPROVED,Not Applicable,2024-04-26T14:52:22.652000Z,2024-04-26T14:56:57.124000Z,2024-04-26T16:25:44.472000Z,2024-04-26T14:56:57.778551Z,275.0,C9DO6R16,6,22,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
662bbf9fa9d06ad06b5878e7,63106ea4e8fe9c6cd32bf358,APPROVED,Not Applicable,2024-04-26T14:52:20.223000Z,2024-04-26T14:55:26.764000Z,2024-04-26T16:25:44.712000Z,2024-04-26T14:56:32.470175Z,187.0,C9DO6R16,1785,28,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
662bbfa0791ee02ffcbee13a,5f49f3262a3d07563d14a7f1,APPROVED,Not Applicable,2024-04-26T14:52:33.488000Z,2024-04-26T15:02:00.977000Z,2024-04-26T16:25:44.958000Z,2024-04-26T15:02:01.692613Z,568.0,C9DO6R16,4889,30,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
662bbfa1a3a8bde1d4616011,615ddab1e4f013092538b6c5,APPROVED,Not Applicable,2024-04-26T14:52:23.669000Z,2024-04-26T14:57:04.858000Z,2024-04-26T16:25:45.184000Z,2024-04-26T14:57:05.583106Z,282.0,C9DO6R16,7233,60,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
662bbfa1b43a75c3e438fa4c,65b549c67c7791499c09f8a2,AWAITING REVIEW,Not Applicable,2024-04-26T14:52:32.191000Z,2024-04-26T14:55:38.966000Z,,2024-04-26T14:56:34.673560Z,187.0,C9DO6R16,728,45,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
662bbfa1b7914cebba61cb58,61007ac6f4adb049713c3a00,AWAITING REVIEW,Not Applicable,2024-04-26T14:52:27.113000Z,2024-04-26T14:58:05.475000Z,,2024-04-26T14:58:06.094576Z,339.0,C9DO6R16,1162,24,Female,White,United States,United States,United States,English,No,Full-Time
662bbfa20c0dcc6cb9ffa1d1,63eab29693a6eb7fd0174010,AWAITING REVIEW,Not Applicable,2024-04-26T14:52:23.292000Z,2024-04-26T14:55:16.820000Z,,2024-04-26T14:56:30.927606Z,174.0,C9DO6R16,2656,32,Female,Black,United States,United States,United States,English,No,Other
662bbfa2bee2643c17eff3c3,631659ad8e5354f16aef7249,APPROVED,Not Applicable,2024-04-26T14:52:24.647000Z,2024-04-26T15:00:32.590000Z,2024-04-26T16:25:45.415000Z,2024-04-26T15:00:33.527318Z,488.0,C9DO6R16,4755,36,Male,Mixed,United States,United States,United States,English,No,Full-Time
662bbfa35b29f3122439395e,6400e1da013c92ee33537ed8,APPROVED,Not Applicable,2024-04-26T14:53:33.630000Z,2024-04-26T14:58:50.284000Z,2024-04-26T16:25:45.639000Z,2024-04-26T14:58:51.027981Z,317.0,C9DO6R16,2641,52,Male,Mixed,Japan,United States,United States,English,No,Part-Time
662bbfa459bbd906d25d265b,653159b776e14d9172042058,APPROVED,Not Applicable,2024-04-26T14:52:25.031000Z,2024-04-26T14:55:13.801000Z,2024-04-26T16:25:45.883000Z,2024-04-26T14:56:30.475021Z,169.0,C9DO6R16,1356,53,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
662bbfa5362772747ec149a5,63483c4522d65d46028da7a7,APPROVED,Not Applicable,2024-04-26T15:01:35.062000Z,2024-04-26T15:07:21.296000Z,2024-04-26T16:25:46.097000Z,2024-04-26T15:07:28.928492Z,347.0,C9DO6R16,4301,33,Male,White,United States,United States,United States,English,No,Full-Time
662bbfa5daec4578aa7cecfd,62a89318448a8592fc88ee03,APPROVED,Not Applicable,2024-04-26T14:52:26.650000Z,2024-04-26T15:20:42.123000Z,2024-04-26T16:25:46.302000Z,2024-04-26T15:20:42.975408Z,1696.0,C9DO6R16,4035,42,Male,Black,United States,United States,United States,English,Yes,Full-Time
662bbfa68f672fe9e651a3b8,615509a589a34f7cb9fb075f,APPROVED,Not Applicable,2024-04-26T14:52:54.847000Z,2024-04-26T14:56:08.249000Z,2024-04-26T16:25:46.526000Z,2024-04-26T14:56:42.195967Z,194.0,C9DO6R16,701,32,Male,White,United States,United States,United States,English,No,Full-Time
662bbfa729e53a117ba817df,566a19b57da035000fb39b89,APPROVED,Not Applicable,2024-04-26T14:52:28.275000Z,2024-04-26T14:59:23.323000Z,2024-04-26T16:25:46.743000Z,2024-04-26T14:59:23.914893Z,416.0,C9DO6R16,6634,36,Male,Asian,United States,United States,United States,English,No,Full-Time
662bbfa75cd3c1d1954f1b49,65ea49c73a2f3ce64c0b8e75,APPROVED,Not Applicable,2024-04-26T14:52:36.485000Z,2024-04-26T14:59:59.799000Z,2024-04-26T16:25:46.976000Z,2024-04-26T15:00:00.423205Z,444.0,C9DO6R16,311,28,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
662bbfa8173f76204cb938a6,610790e286844c36e02f906c,AWAITING REVIEW,Not Applicable,2024-04-26T14:52:30.420000Z,2024-04-26T14:55:59.306000Z,,2024-04-26T14:56:40.832679Z,209.0,C9DO6R16,4239,29,Female,White,United States,United States,United States,English,No,Full-Time
662bbfa83047ba50ee75945d,5ee4b29de1640f1bc85da97b,APPROVED,Not Applicable,2024-04-26T14:52:31.071000Z,2024-04-26T14:58:28.988000Z,2024-04-26T16:25:47.184000Z,2024-04-26T14:58:29.550803Z,358.0,C9DO6R16,8183,62,Male,White,United States,United States,United States,English,No,Full-Time
662bbfa87b1c37e843f7bb90,62d86c63e2966588c71b9ff2,APPROVED,Not Applicable,2024-04-26T14:52:34.316000Z,2024-04-26T14:55:19.555000Z,2024-04-26T16:25:47.423000Z,2024-04-26T14:56:31.583564Z,166.0,C9DO6R16,3710,44,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
662bbfa94acbb6b28875b06d,5c476621b521ee00019abf67,AWAITING REVIEW,Not Applicable,2024-04-26T14:52:32.456000Z,2024-04-26T15:01:12.318000Z,,2024-04-26T15:01:13.217277Z,520.0,C9DO6R16,4182,64,Female,White,United States,United States,United States,English,No,Part-Time
