StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_form,attention_check,Q6,Novel_regularity,Novel_insight,Novel_explo,Novel_morbid,Movie_regularity,Movie_insight,Movie_explo,Movie_morbid,Nonfict_regularity,Nonfict_insight,Nonfict_explo,Nonfict_morbid,Game_regularity,Game_insight,Game_explo,Game_morbid,Docu_regularity,Docu_insight,Docu_explo,Docu_morbid,Q62,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:     The survey will take about 8 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says:     “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with your friend?",Was this explanation of the feeling of insight clear?,How often do you read novels?,How interested are you in novels that elicit a feeling of insight? For instance novels in which a plot twist or a new revelation about a character helps make sense of the story.,"How interested are you in novels that transport you far away or to imaginary worlds? For instance, novels that immerse you in fantasy worlds, futuristic societies or far away places.","How interested are you in scary novels? For instance, novels that evoke fear, suspense, or a sense of dread.",How often do you watch movies?,How interested are you in watching movies that elicit a feeling of insight? For instance movies in which a plot twist or a new revelation about a character helps make sense of the story.,"How interested are you in movies that transport you  far away or to imaginary worlds? For instance, novels that immerse you in fantasy worlds, futuristic societies or far away places.","How interested are you in scary movies? For instance, movies that evoke fear, suspense, or a sense of dread.",How often do you read non-fiction?,How interested are you in reading popular science that elicits a feeling of insight? For instance popular science writing that leads you to make sense of something.,"How interested are you by books that offer a journey to other places? For instance photography books showcasing unique landscapes, travel narratives or far away places.",How interested are you by books that delve into the minds of individuals with criminal or deceptive tendencies? For instance works exploring the psychology behind criminal behavior or the life stories of infamous impostors.,How often do you play video games?,How interested are you in playing video games that elicit a feeling of insight? For instance video games in which you suddenly manage to find the solution to a problem.,How interested are you in open-world video games? For instance video games that offer expansive and immersive environments where you're free to explore vast worlds.,"How interested are you in scary video games? For instance video games designed to provoke fear, suspense, or anxiety, often through unsettling atmospheres or encounters with frightful creatures.",How often do you watch documentaries?,"How interested are you in watching documentaries that elicit a feeling of insight? For instance documentaries that help you make sense of things from a new point of view, by presenting the perspective of different people or providing you with new facts.","How interested are you in documentaries that explore the natural world? For instance, films that take you on visual journeys through diverse ecosystems around the globe, or that showcase different plants, animals, or peoples.","How interested are you in documentaries that delve into criminal minds and true crime stories? For instance, documentaries that offer in-depth analyses of criminal cases.","Do you have any further comments for us?  If you have experienced any problems during the survey, please let us know.",PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1214988211""}","{""ImportId"":""QID1214988209_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID56""}","{""ImportId"":""QID55""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2024-04-12 15:43:19,2024-04-12 15:44:38,0,98.121.73.80,100,79,1,2024-04-12 15:44:39,R_5cZYsNHDxvxwPAP,,,,,36.1053,-79.8762,anonymous,EN,1,I pay attention,2,3,4,5,2,3,5,6,2,3,4,5,5,3,6,6,2,2,6,4,4,,5f6cdde7a8d71310b06e402a
2024-04-12 15:43:17,2024-04-12 15:45:39,0,184.58.245.117,100,141,1,2024-04-12 15:45:39,R_5Lkdn16SVLGGgAw,,,,,43.0026,-87.9417,anonymous,EN,1,I pay attention,2,2,5,6,5,5,6,6,6,2,7,6,6,5,7,7,5,2,4,5,4,,59dc458f77860e000151240e
2024-04-12 15:44:03,2024-04-12 15:47:20,0,73.117.188.94,100,197,1,2024-04-12 15:47:21,R_4aK7euNBWwkHu90,,,,,40.6151,-79.7827,anonymous,EN,1,"I pay attention ",2,4,6,6,2,4,6,6,2,4,6,6,6,3,6,6,2,4,6,6,6,Thank you for the study!,5a8d1e105292b800012342c9
2024-04-12 15:42:43,2024-04-12 15:47:55,0,76.190.202.26,100,312,1,2024-04-12 15:47:56,R_5DZlqU5KXXfjfJn,,,,,40.8968,-80.8615,anonymous,EN,1,I pay attention,2,2,3,2,1,2,4,2,1,3,5,3,2,1,,,,3,5,5,4,,5ed9c285b8c16356b385a97f
2024-04-12 15:44:09,2024-04-12 15:48:44,0,75.86.131.226,100,275,1,2024-04-12 15:48:45,R_2b0FS6n2sgl1d05,,,,,43.0538,-88.3976,anonymous,EN,1,I pay attention,2,3,6,4,5,3,7,4,5,3,5,5,6,2,4,4,4,5,7,2,7,N/A,5c74e7e9c3fe130001e86cc8
2024-04-12 15:44:03,2024-04-12 15:49:19,0,98.233.202.2,100,315,1,2024-04-12 15:49:19,R_3I5jZpj79ji8mjP,,,,,39.2869,-76.6416,anonymous,EN,1,I pay attention,2,3,5,4,2,5,6,4,2,3,3,4,1,4,3,6,1,2,5,4,2,,5fde4bdb99e7cf5b87787664
2024-04-12 15:43:23,2024-04-12 15:49:45,0,172.59.189.46,100,381,1,2024-04-12 15:49:45,R_18APMShwYf2OvNN,,,,,41.8986,-87.738,anonymous,EN,1,"""I pay attention"" ",2,5,2,3,2,5,5,6,6,2,1,2,3,1,,,,5,4,5,4,Non,65f05041911d35e3c82d47ad
2024-04-12 15:43:23,2024-04-12 15:52:54,0,73.131.118.207,100,570,1,2024-04-12 15:52:54,R_1DMC9r1cmbdVjoF,,,,,32.7863,-80.1055,anonymous,EN,1,I pay attention,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,no,5efc24acc8e96b1e45596223
