explanation_id,explanatoriness,surprisingness,usefulness,interestingness,cleverness,willingness_to_share,satisfaction,insight,prior_knowledge,belief_average,participant_id,appeal,submissionScore,commentScore,similarity,commentLength,average_knowledge
1,4,4,3,4,3,4,3,5,FALSE,22,60feddab2db9528af033d65f,3.6666666666666665,292,205,0.6248753,790,0.1
1,5,5,4,4,3,5,4,5,FALSE,30,611bf5c145247a98f2eb23e1,4,292,205,0.6248753,790,0.1
1,5,5,4,5,4,4,4,4,FALSE,16,5fc2c97b862e3e4297a36895,4.333333333333333,292,205,0.6248753,790,0.1
1,2,6,4,6,5,5,5,5,FALSE,42,651f0d6c26e75447ae818a36,5.333333333333333,292,205,0.6248753,790,0.1
1,2,3,4,2,3,2,1,1,FALSE,50,628e0063fa56e316da2a71cb,2.3333333333333335,292,205,0.6248753,790,0.1
1,3,3,2,2,2,2,2,2,FALSE,3,63b9d3abc3ddc61c8c08fd84,2,292,205,0.6248753,790,0.1
1,6,3,4,6,6,5,6,4,FALSE,39,62eec7fbf90e6d75b70e6e2c,5.666666666666667,292,205,0.6248753,790,0.1
1,6,3,4,7,6,5,7,6,FALSE,26,6400d8fbeba2f9f8eb604b9a,6,292,205,0.6248753,790,0.1
1,6,5,5,5,5,5,5,4,FALSE,40,6029b0e17f3b5d944ab183f1,5,292,205,0.6248753,790,0.1
1,6,2,7,5,6,5,7,6,TRUE,42,55a9f6a1fdf99b2d81b5295f,5.333333333333333,292,205,0.6248753,790,0.1
10,5,2,1,3,2,2,1,1,FALSE,3,63d7fb6ee49281f6c41d6630,2.3333333333333335,582,690,0.6475762,762,0.2
10,2,2,2,2,2,2,2,2,TRUE,89,641a43f78351cc4fefe31190,2,582,690,0.6475762,762,0.2
10,4,3,4,3,4,4,4,4,FALSE,10,64136bf30b27746cb96f7db8,3.6666666666666665,582,690,0.6475762,762,0.2
10,7,1,6,7,7,2,7,4,FALSE,40,5dd9f0e719eecb97dfab7b48,5.333333333333333,582,690,0.6475762,762,0.2
10,5,5,5,6,4,6,5,5,FALSE,52,615c65e4fa1c6b2e5a7d0971,5.333333333333333,582,690,0.6475762,762,0.2
10,6,2,6,6,4,5,6,3,TRUE,36,615ddab1e4f013092538b6c5,5,582,690,0.6475762,762,0.2
10,3,3,5,4,2,5,4,3,FALSE,47,60fdd59c0bf3c63079c26391,3.6666666666666665,582,690,0.6475762,762,0.2
10,4,1,4,4,5,3,3,3,FALSE,5,6444b1e677ebe8b4e2c23abd,4,582,690,0.6475762,762,0.2
10,7,7,6,7,5,3,7,4,FALSE,11,623a732198d2a11b21faccc9,5,582,690,0.6475762,762,0.2
10,5,1,5,2,4,1,3,2,FALSE,33,5f2a12f5837dd81e5881b7cc,2.3333333333333335,582,690,0.6475762,762,0.2
100,7,1,7,7,6,7,7,6,FALSE,40,63d5daa80d80a745de740c13,6.666666666666667,2284,2248,0.65092194,500,0.3333333333333333
100,5,5,6,6,5,5,6,5,FALSE,30,649b2106b81f8dcf5d163ee5,5.333333333333333,2284,2248,0.65092194,500,0.3333333333333333
100,5,3,7,3,5,5,4,5,TRUE,68,55a9f6a1fdf99b2d81b5295f,4.333333333333333,2284,2248,0.65092194,500,0.3333333333333333
100,6,5,5,6,3,5,5,4,TRUE,65,5cbb45b34ab38b001577ab0b,4.666666666666667,2284,2248,0.65092194,500,0.3333333333333333
100,5,6,4,6,6,6,4,5,FALSE,25,652761de72f9ecf8f6798f80,6,2284,2248,0.65092194,500,0.3333333333333333
100,4,1,3,4,3,2,4,2,FALSE,3,629e241d171ec6698e05f149,3,2284,2248,0.65092194,500,0.3333333333333333
100,7,2,3,1,1,3,5,1,TRUE,91,58a1fe40ea3d11000170d9b9,1.6666666666666667,2284,2248,0.65092194,500,0.3333333333333333
100,3,4,5,5,3,2,5,4,FALSE,5,62964d27c2b2866faa677493,3.3333333333333335,2284,2248,0.65092194,500,0.3333333333333333
100,7,4,7,7,6,5,7,5,FALSE,25,5c830a66d6a4d0000164097d,6,2284,2248,0.65092194,500,0.3333333333333333
101,5,3,4,5,3,5,5,3,FALSE,27,652761de72f9ecf8f6798f80,4.333333333333333,12093,8159,0.35156393,175,0.1111111111111111
101,3,2,4,3,3,2,3,2,FALSE,23,59894fbbda239a0001fb8e16,2.6666666666666665,12093,8159,0.35156393,175,0.1111111111111111
101,6,3,5,6,5,5,6,5,TRUE,76,651ab8cd3ecbad9f2062ab57,5.333333333333333,12093,8159,0.35156393,175,0.1111111111111111
101,3,3,2,3,2,2,2,2,FALSE,17,5d32254ab202db00014d5d31,2.3333333333333335,12093,8159,0.35156393,175,0.1111111111111111
101,1,2,2,2,2,1,2,1,FALSE,10,5d88f010859c9e0001810e88,1.6666666666666667,12093,8159,0.35156393,175,0.1111111111111111
101,5,5,5,5,5,5,5,4,FALSE,45,61bb392e40db417c1a138dcb,5,12093,8159,0.35156393,175,0.1111111111111111
101,5,3,5,3,3,1,5,5,FALSE,20,607cbf385d3202721e3f719f,2.3333333333333335,12093,8159,0.35156393,175,0.1111111111111111
101,4,3,4,4,3,2,3,3,FALSE,20,5669ac845bd4ff0011159b4a,3,12093,8159,0.35156393,175,0.1111111111111111
101,6,2,4,5,4,4,7,2,FALSE,25,63614899ad49a91f1ef09067,4.333333333333333,12093,8159,0.35156393,175,0.1111111111111111
102,4,4,4,5,5,4,4,4,FALSE,28,615c65e4fa1c6b2e5a7d0971,4.666666666666667,626,846,0.54141045,213,0.2
102,2,1,2,2,1,1,1,1,TRUE,85,5c830a66d6a4d0000164097d,1.3333333333333333,626,846,0.54141045,213,0.2
102,5,4,5,5,4,4,5,4,FALSE,30,652408b110c19343a504c45a,4.333333333333333,626,846,0.54141045,213,0.2
102,1,2,2,2,2,1,1,2,FALSE,33,62964d27c2b2866faa677493,1.6666666666666667,626,846,0.54141045,213,0.2
102,5,3,3,2,2,2,3,2,FALSE,28,5c4623f40df98d0001edaec8,2,626,846,0.54141045,213,0.2
102,6,5,5,2,4,4,3,2,TRUE,32,632e9aa62793c18a857aece4,3.3333333333333335,626,846,0.54141045,213,0.2
102,3,2,2,3,2,2,2,1,FALSE,7,5fa4c21a04bc5912180291bc,2.3333333333333335,626,846,0.54141045,213,0.2
102,1,5,1,3,1,2,1,2,FALSE,10,649b2106b81f8dcf5d163ee5,2,626,846,0.54141045,213,0.2
102,2,1,1,3,1,3,1,1,FALSE,10,6444b1e677ebe8b4e2c23abd,2.3333333333333335,626,846,0.54141045,213,0.2
102,2,1,2,1,2,2,2,2,FALSE,12,63b0953847122ffebd8a5991,1.6666666666666667,626,846,0.54141045,213,0.2
103,5,5,5,5,5,3,5,5,FALSE,10,615ddab1e4f013092538b6c5,4.333333333333333,3271,3543,0.48862275,219,0.2
103,5,1,4,2,2,3,3,3,FALSE,43,65006bec31c35a02228b9998,2.3333333333333335,3271,3543,0.48862275,219,0.2
103,4,1,1,1,1,1,2,3,FALSE,20,629e241d171ec6698e05f149,1,3271,3543,0.48862275,219,0.2
103,6,6,5,5,6,5,6,6,FALSE,15,63e51c6b462cfa8a42eba8b2,5.333333333333333,3271,3543,0.48862275,219,0.2
103,5,4,6,4,4,5,4,5,FALSE,31,5db4f0b63e33f2000dd54016,4.333333333333333,3271,3543,0.48862275,219,0.2
103,6,6,4,6,5,5,6,6,TRUE,83,57ad04adddc11d00015bb1c3,5.333333333333333,3271,3543,0.48862275,219,0.2
103,2,2,3,2,2,2,2,2,FALSE,20,64136bf30b27746cb96f7db8,2,3271,3543,0.48862275,219,0.2
103,7,4,7,6,5,7,7,6,FALSE,30,627286792f25495f123cc27b,6,3271,3543,0.48862275,219,0.2
103,4,2,3,2,2,1,4,1,TRUE,40,628678ca852c5ee97a800552,1.6666666666666667,3271,3543,0.48862275,219,0.2
103,4,1,4,1,3,1,4,1,FALSE,18,5ef246c6d2b9060809858e7e,1.6666666666666667,3271,3543,0.48862275,219,0.2
104,5,6,5,6,6,5,6,6,FALSE,70,632e9aa62793c18a857aece4,5.666666666666667,740,490,0.7009158,789,0
104,6,7,7,7,7,6,7,7,FALSE,10,65181c2f753b188afdddd2c4,6.666666666666667,740,490,0.7009158,789,0
104,3,2,2,3,4,1,3,2,FALSE,50,633edc50cfae73d4a72ca889,2.6666666666666665,740,490,0.7009158,789,0
104,4,3,4,4,4,3,4,3,FALSE,20,5e63e24eaf3bd51660031dbe,3.6666666666666665,740,490,0.7009158,789,0
104,5,7,3,4,6,5,6,4,FALSE,36,62b601e089d3d1134aed066b,5,740,490,0.7009158,789,0
104,6,2,4,6,5,7,6,5,FALSE,2,5fa4c21a04bc5912180291bc,6,740,490,0.7009158,789,0
104,4,3,3,3,4,5,3,2,FALSE,25,63d53aba8df6735aa2f61e80,4,740,490,0.7009158,789,0
104,5,5,3,5,5,3,5,3,FALSE,15,5e7908b92d882b4b6d8fa8e1,4.333333333333333,740,490,0.7009158,789,0
104,1,3,2,2,2,1,2,1,FALSE,10,65006bec31c35a02228b9998,1.6666666666666667,740,490,0.7009158,789,0
104,4,5,5,6,5,4,5,5,FALSE,79,614662c1c31697525616534f,5,740,490,0.7009158,789,0
104,5,5,5,6,5,4,4,5,FALSE,5,64618c94bd9b28ed7b6472ce,5,740,490,0.7009158,789,0
105,5,1,5,5,4,2,5,1,FALSE,15,5c1976c90d57c30001b4162c,3.6666666666666665,1198,794,0.6413357,690,0.2
105,6,4,6,6,5,4,5,4,FALSE,25,63ebb22fae90027a0e121582,5,1198,794,0.6413357,690,0.2
105,2,2,2,3,3,2,2,1,FALSE,30,60870dd7e185006f4bc26266,2.6666666666666665,1198,794,0.6413357,690,0.2
105,7,6,5,6,6,7,5,7,FALSE,79,62d76c12d098bf4decd10802,6.333333333333333,1198,794,0.6413357,690,0.2
105,3,4,4,3,3,2,3,2,FALSE,21,55e5d5fdc70c7a000b2a5bac,2.6666666666666665,1198,794,0.6413357,690,0.2
105,2,2,4,2,2,2,3,2,TRUE,30,5eb32b8adc8fc511560fca82,2,1198,794,0.6413357,690,0.2
105,6,3,6,6,5,5,6,2,TRUE,9,62734ce38db73cd5bd81a36f,5.333333333333333,1198,794,0.6413357,690,0.2
105,6,4,6,5,5,6,5,4,FALSE,20,650b03136ab3d4c832d98b71,5.333333333333333,1198,794,0.6413357,690,0.2
105,2,2,4,1,2,3,2,2,FALSE,15,5e7908b92d882b4b6d8fa8e1,2,1198,794,0.6413357,690,0.2
105,5,3,3,3,3,2,3,3,FALSE,26,652d5fbe9b9bfde1040a8c4d,2.6666666666666665,1198,794,0.6413357,690,0.2
106,6,4,5,5,4,5,5,4,FALSE,40,650d919db7601b602ef62749,4.666666666666667,915,932,0.48157817,368,0.1
106,7,3,7,6,4,6,7,7,FALSE,14,5ed559e5afbd830e2117ed55,5.333333333333333,915,932,0.48157817,368,0.1
106,6,1,5,4,1,5,4,5,FALSE,14,5f489766dbc4a2364c0f4f93,3.3333333333333335,915,932,0.48157817,368,0.1
106,5,6,6,6,4,5,4,4,FALSE,35,5842eb2904e7550001a06b14,5,915,932,0.48157817,368,0.1
106,4,2,5,3,3,3,5,2,FALSE,30,5ed543442db0060a955d12e1,3,915,932,0.48157817,368,0.1
106,5,5,6,6,6,5,6,6,FALSE,21,5d29cc8869a747001acdb3c1,5.666666666666667,915,932,0.48157817,368,0.1
106,5,4,3,2,2,3,2,3,FALSE,20,5fc2c97b862e3e4297a36895,2.3333333333333335,915,932,0.48157817,368,0.1
106,7,1,4,4,4,2,7,2,TRUE,50,5e63e24eaf3bd51660031dbe,3.3333333333333335,915,932,0.48157817,368,0.1
106,7,2,5,3,1,3,7,1,FALSE,15,6521ab1c4a2ffd6c21a3b662,2.3333333333333335,915,932,0.48157817,368,0.1
106,4,3,4,4,4,3,4,3,FALSE,41,61bb392e40db417c1a138dcb,3.6666666666666665,915,932,0.48157817,368,0.1
107,5,5,5,6,4,4,6,6,FALSE,61,6318be45a49442eee3a88cb3,4.666666666666667,567,279,0.6462655,455,0.3
107,7,5,7,7,6,7,7,6,FALSE,55,5cbb45b34ab38b001577ab0b,6.666666666666667,567,279,0.6462655,455,0.3
107,5,5,3,5,4,5,3,6,TRUE,47,632e9aa62793c18a857aece4,4.666666666666667,567,279,0.6462655,455,0.3
107,5,6,6,6,5,6,7,7,FALSE,5,65181c2f753b188afdddd2c4,5.666666666666667,567,279,0.6462655,455,0.3
107,6,5,5,6,6,2,6,5,FALSE,38,63b0953847122ffebd8a5991,4.666666666666667,567,279,0.6462655,455,0.3
107,5,5,5,6,4,4,5,5,FALSE,40,628e0063fa56e316da2a71cb,4.666666666666667,567,279,0.6462655,455,0.3
107,6,4,5,5,4,6,4,3,TRUE,57,5df89cab69a117620a70f1ee,5,567,279,0.6462655,455,0.3
107,7,6,7,7,6,7,7,7,FALSE,46,631b4849c2daec6a4966605c,6.666666666666667,567,279,0.6462655,455,0.3
