'Participant','Experiment','Type','Number','Correct','Aha','Impasse','Pleasure','Surprise','Certain'
1,1.5,1,1,0,10,5,10,50,30
1,1.5,1,2,1,100,0,100,0,100
1,1.5,1,3,0,50,100,0,0,0
1,1.5,1,4,1,45,100,70,80,75
1,1.5,1,5,0,0,100,0,0,0
1,1.5,1,6,0,0,100,0,0,20
1,1.5,1,7,0,5,100,10,5,0
1,1.5,1,8,1,20,40,100,20,100
1,1.5,1,9,1,10,5,10,10,100
1,1.5,1,10,1,30,30,100,20,80
1,1.5,2,1,0,0,100,0,0,0
1,1.5,2,2,0,0,100,0,0,10
1,1.5,2,3,0,0,100,0,0,0
1,1.5,2,4,0,0,100,0,0,0
1,1.5,2,5,0,0,100,0,0,0
1,1.5,2,6,0,0,100,0,0,0
1,1.5,2,7,0,0,100,0,0,0
1,1.5,2,8,1,0,100,10,0,50
1,1.5,2,9,0,0,100,0,0,0
1,1.5,2,10,0,0,100,0,0,0
1,1.5,2,11,0,0,100,0,0,0
1,1.5,2,12,0,0,100,0,0,0
1,1.5,2,13,0,0,0,0,0,0
1,1.5,2,14,0,0,100,0,0,0
1,1.5,2,15,0,0,100,0,0,0
1,1.5,2,16,1,0,10,20,0,50
1,1.5,2,17,0,0,100,0,0,0
1,1.5,2,18,0,0,100,0,0,0
1,1.5,2,19,0,0,100,0,0,0
1,1.5,2,20,0,0,100,0,0,0
2,1.5,1,1,0,51,53,52,51,44
2,1.5,1,2,1,60,60,60,60,100
2,1.5,1,3,1,100,62,72,88,100
2,1.5,1,4,0,64,56,64,67,91
2,1.5,1,5,0,54,63,61,46,76
2,1.5,1,6,1,61,60,61,62,88
2,1.5,1,7,0,40,33,43,47,44
2,1.5,1,8,1,75,62,62,62,100
2,1.5,1,9,0,54,54,52,52,54
2,1.5,1,10,0,51,54,51,53,46
2,1.5,2,1,0,53,51,51,51,51
2,1.5,2,2,0,38,56,60,71,81
2,1.5,2,3,0,51,51,51,53,51
2,1.5,2,4,0,51,48,53,52,52
2,1.5,2,5,0,50,51,51,49,52
2,1.5,2,6,0,51,44,53,46,54
2,1.5,2,7,0,52,49,53,54,52
2,1.5,2,8,0,51,62,52,47,40
2,1.5,2,9,0,51,51,51,52,51
2,1.5,2,10,0,52,51,51,51,51
2,1.5,2,11,0,53,50,52,49,54
2,1.5,2,12,0,52,51,51,52,52
2,1.5,2,13,0,45,53,51,49,46
2,1.5,2,14,0,49,51,50,48,49
2,1.5,2,15,0,50,48,50,51,52
2,1.5,2,16,0,52,51,53,49,52
2,1.5,2,17,0,52,52,53,51,52
2,1.5,2,18,0,45,54,45,46,45
2,1.5,2,19,0,50,51,51,49,47
2,1.5,2,20,0,50,51,51,53,49
3,1.5,1,1,1,30,26,43,28,60
3,1.5,1,2,1,49,4,59,5,91
3,1.5,1,3,1,45,11,78,7,80
3,1.5,1,4,1,42,6,57,3,82
3,1.5,1,5,0,40,11,45,45,0
3,1.5,1,6,0,38,14,47,31,0
3,1.5,1,7,0,26,46,50,68,45
3,1.5,1,8,1,78,29,86,11,94
3,1.5,1,9,1,39,9,34,52,42
3,1.5,1,10,1,50,8,58,4,63
3,1.5,2,1,0,15,19,17,29,27
3,1.5,2,2,0,25,40,52,43,0
3,1.5,2,3,0,3,24,71,71,8
3,1.5,2,4,0,22,14,41,15,45
3,1.5,2,5,0,20,16,65,71,38
3,1.5,2,6,0,18,19,54,70,31
3,1.5,2,7,0,22,13,54,60,30
3,1.5,2,8,0,20,15,49,52,0
3,1.5,2,9,0,31,27,41,43,39
3,1.5,2,10,0,6,11,66,55,0
3,1.5,2,11,0,39,14,34,30,42
3,1.5,2,12,0,34,49,51,57,40
3,1.5,2,13,0,40,58,72,49,40
3,1.5,2,14,0,19,50,70,61,30
3,1.5,2,15,0,22,22,55,35,41
3,1.5,2,16,0,25,26,55,30,33
3,1.5,2,17,0,15,25,16,17,0
3,1.5,2,18,0,20,15,42,17,8
3,1.5,2,19,0,26,18,61,66,38
3,1.5,2,20,0,29,15,41,25,45
4,1.5,1,1,1,33,2,93,11,99
4,1.5,1,2,1,76,50,90,80,100
4,1.5,1,3,0,1,1,3,1,0
